STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
1,1,2017,dist_MAT,23.5,Alabama,AL,Autauga County
1,3,2017,dist_MAT,19.68,Alabama,AL,Baldwin County
1,5,2017,dist_MAT,17,Alabama,AL,Barbour County
1,7,2017,dist_MAT,19,Alabama,AL,Bibb County
1,9,2017,dist_MAT,13.62,Alabama,AL,Blount County
1,11,2017,dist_MAT,22.33,Alabama,AL,Bullock County
1,13,2017,dist_MAT,53.75,Alabama,AL,Butler County
1,15,2017,dist_MAT,8.5,Alabama,AL,Calhoun County
1,17,2017,dist_MAT,16,Alabama,AL,Chambers County
1,19,2017,dist_MAT,16.25,Alabama,AL,Cherokee County
1,21,2017,dist_MAT,13.14,Alabama,AL,Chilton County
1,23,2017,dist_MAT,26.5,Alabama,AL,Choctaw County
1,25,2017,dist_MAT,49.78,Alabama,AL,Clarke County
1,27,2017,dist_MAT,22.17,Alabama,AL,Clay County
1,29,2017,dist_MAT,18.5,Alabama,AL,Cleburne County
1,31,2017,dist_MAT,21.6,Alabama,AL,Coffee County
1,33,2017,dist_MAT,8.4,Alabama,AL,Colbert County
1,35,2017,dist_MAT,30.4,Alabama,AL,Conecuh County
1,37,2017,dist_MAT,17.8,Alabama,AL,Coosa County
1,39,2017,dist_MAT,37.9,Alabama,AL,Covington County
1,41,2017,dist_MAT,38.83,Alabama,AL,Crenshaw County
1,43,2017,dist_MAT,9.83,Alabama,AL,Cullman County
1,45,2017,dist_MAT,11.29,Alabama,AL,Dale County
1,47,2017,dist_MAT,48,Alabama,AL,Dallas County
1,49,2017,dist_MAT,22.13,Alabama,AL,DeKalb County
1,51,2017,dist_MAT,9.33,Alabama,AL,Elmore County
1,53,2017,dist_MAT,15.25,Alabama,AL,Escambia County
1,55,2017,dist_MAT,8.82,Alabama,AL,Etowah County
1,57,2017,dist_MAT,27.83,Alabama,AL,Fayette County
1,59,2017,dist_MAT,18.29,Alabama,AL,Franklin County
1,61,2017,dist_MAT,8.38,Alabama,AL,Geneva County
1,63,2017,dist_MAT,29,Alabama,AL,Greene County
1,65,2017,dist_MAT,25.6,Alabama,AL,Hale County
1,67,2017,dist_MAT,7.6,Alabama,AL,Henry County
1,69,2017,dist_MAT,9.73,Alabama,AL,Houston County
1,71,2017,dist_MAT,15.35,Alabama,AL,Jackson County
1,73,2017,dist_MAT,5.42,Alabama,AL,Jefferson County
1,75,2017,dist_MAT,21.17,Alabama,AL,Lamar County
1,77,2017,dist_MAT,12.88,Alabama,AL,Lauderdale County
1,79,2017,dist_MAT,23.67,Alabama,AL,Lawrence County
1,81,2017,dist_MAT,8.45,Alabama,AL,Lee County
1,83,2017,dist_MAT,14.1,Alabama,AL,Limestone County
1,85,2017,dist_MAT,33.8,Alabama,AL,Lowndes County
1,87,2017,dist_MAT,20.83,Alabama,AL,Macon County
1,89,2017,dist_MAT,5.68,Alabama,AL,Madison County
1,91,2017,dist_MAT,45.89,Alabama,AL,Marengo County
1,93,2017,dist_MAT,11.83,Alabama,AL,Marion County
1,95,2017,dist_MAT,20.78,Alabama,AL,Marshall County
1,97,2017,dist_MAT,8.95,Alabama,AL,Mobile County
1,99,2017,dist_MAT,45.09,Alabama,AL,Monroe County
1,101,2017,dist_MAT,10.79,Alabama,AL,Montgomery County
1,103,2017,dist_MAT,16.56,Alabama,AL,Morgan County
1,105,2017,dist_MAT,39.5,Alabama,AL,Perry County
1,107,2017,dist_MAT,22,Alabama,AL,Pickens County
1,109,2017,dist_MAT,37.14,Alabama,AL,Pike County
1,111,2017,dist_MAT,26.6,Alabama,AL,Randolph County
1,113,2017,dist_MAT,9.5,Alabama,AL,Russell County
1,115,2017,dist_MAT,17.92,Alabama,AL,St. Clair County
1,117,2017,dist_MAT,9.69,Alabama,AL,Shelby County
1,119,2017,dist_MAT,31.75,Alabama,AL,Sumter County
1,121,2017,dist_MAT,20,Alabama,AL,Talladega County
1,123,2017,dist_MAT,24.2,Alabama,AL,Tallapoosa County
1,125,2017,dist_MAT,7.22,Alabama,AL,Tuscaloosa County
1,127,2017,dist_MAT,12.38,Alabama,AL,Walker County
1,129,2017,dist_MAT,46.29,Alabama,AL,Washington County
1,131,2017,dist_MAT,64.11,Alabama,AL,Wilcox County
1,133,2017,dist_MAT,21.14,Alabama,AL,Winston County
2,13,2017,dist_MAT,95,Alaska,AK,Aleutians East Borough
2,16,2017,dist_MAT,414.86,Alaska,AK,Aleutians West Census Area
2,20,2017,dist_MAT,4.59,Alaska,AK,Anchorage Municipality
2,50,2017,dist_MAT,60.23,Alaska,AK,Bethel Census Area
2,60,2017,dist_MAT,142.67,Alaska,AK,Bristol Bay Borough
2,68,2017,dist_MAT,171.8,Alaska,AK,Denali Borough
2,70,2017,dist_MAT,150.86,Alaska,AK,Dillingham Census Area
2,90,2017,dist_MAT,150.25,Alaska,AK,Fairbanks North Star Borough
2,100,2017,dist_MAT,71,Alaska,AK,Haines Borough
2,105,2017,dist_MAT,66,Alaska,AK,Hoonah-Angoon Census Area
2,110,2017,dist_MAT,5,Alaska,AK,Juneau City and Borough
2,122,2017,dist_MAT,27.43,Alaska,AK,Kenai Peninsula Borough
2,130,2017,dist_MAT,0,Alaska,AK,Ketchikan Gateway Borough
2,150,2017,dist_MAT,22.2,Alaska,AK,Kodiak Island Borough
2,158,2017,dist_MAT,120.25,Alaska,AK,Kusilvak Census Area
2,164,2017,dist_MAT,116.08,Alaska,AK,Lake and Peninsula Borough
2,170,2017,dist_MAT,49.89,Alaska,AK,Matanuska-Susitna Borough
2,180,2017,dist_MAT,101.64,Alaska,AK,Nome Census Area
2,185,2017,dist_MAT,142.91,Alaska,AK,North Slope Borough
2,188,2017,dist_MAT,176.36,Alaska,AK,Northwest Arctic Borough
2,195,2017,dist_MAT,91,Alaska,AK,Petersburg Borough
2,198,2017,dist_MAT,26,Alaska,AK,Prince of Wales-Hyder Census Area
2,220,2017,dist_MAT,100,Alaska,AK,Sitka City and Borough
2,230,2017,dist_MAT,92,Alaska,AK,Skagway Municipality
2,240,2017,dist_MAT,250.57,Alaska,AK,Southeast Fairbanks Census Area
2,261,2017,dist_MAT,128.25,Alaska,AK,Valdez-Cordova Census Area
2,275,2017,dist_MAT,50.5,Alaska,AK,Wrangell City and Borough
2,282,2017,dist_MAT,202,Alaska,AK,Yakutat City and Borough
2,290,2017,dist_MAT,137.66,Alaska,AK,Yukon-Koyukuk Census Area
4,1,2017,dist_MAT,44.11,Arizona,AZ,Apache County
4,3,2017,dist_MAT,28.59,Arizona,AZ,Cochise County
4,5,2017,dist_MAT,29.48,Arizona,AZ,Coconino County
4,7,2017,dist_MAT,16.33,Arizona,AZ,Gila County
4,9,2017,dist_MAT,55.89,Arizona,AZ,Graham County
4,11,2017,dist_MAT,81.5,Arizona,AZ,Greenlee County
4,12,2017,dist_MAT,37.25,Arizona,AZ,La Paz County
4,13,2017,dist_MAT,4.82,Arizona,AZ,Maricopa County
4,15,2017,dist_MAT,28.71,Arizona,AZ,Mohave County
4,17,2017,dist_MAT,34.71,Arizona,AZ,Navajo County
