STATEFP,COUNTYFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION,COUNTY
1,1,2018,dist_SSP,153.67,Alabama,AL,Autauga County
1,3,2018,dist_SSP,146.5,Alabama,AL,Baldwin County
1,5,2018,dist_SSP,144.25,Alabama,AL,Barbour County
1,7,2018,dist_SSP,163.25,Alabama,AL,Bibb County
1,9,2018,dist_SSP,127.12,Alabama,AL,Blount County
1,11,2018,dist_SSP,135.67,Alabama,AL,Bullock County
1,13,2018,dist_SSP,196.5,Alabama,AL,Butler County
1,15,2018,dist_SSP,82.83,Alabama,AL,Calhoun County
1,17,2018,dist_SSP,79.5,Alabama,AL,Chambers County
1,19,2018,dist_SSP,77.5,Alabama,AL,Cherokee County
1,21,2018,dist_SSP,147.43,Alabama,AL,Chilton County
1,23,2018,dist_SSP,179.2,Alabama,AL,Choctaw County
1,25,2018,dist_SSP,180.78,Alabama,AL,Clarke County
1,27,2018,dist_SSP,90.83,Alabama,AL,Clay County
1,29,2018,dist_SSP,61,Alabama,AL,Cleburne County
1,31,2018,dist_SSP,188,Alabama,AL,Coffee County
1,33,2018,dist_SSP,115,Alabama,AL,Colbert County
1,35,2018,dist_SSP,199.2,Alabama,AL,Conecuh County
1,37,2018,dist_SSP,117.6,Alabama,AL,Coosa County
1,39,2018,dist_SSP,208.7,Alabama,AL,Covington County
1,41,2018,dist_SSP,175.67,Alabama,AL,Crenshaw County
1,43,2018,dist_SSP,137.5,Alabama,AL,Cullman County
1,45,2018,dist_SSP,176,Alabama,AL,Dale County
1,47,2018,dist_SSP,183.38,Alabama,AL,Dallas County
1,49,2018,dist_SSP,96.53,Alabama,AL,DeKalb County
1,51,2018,dist_SSP,133.44,Alabama,AL,Elmore County
1,53,2018,dist_SSP,181.75,Alabama,AL,Escambia County
1,55,2018,dist_SSP,98.36,Alabama,AL,Etowah County
1,57,2018,dist_SSP,177.17,Alabama,AL,Fayette County
1,59,2018,dist_SSP,137.14,Alabama,AL,Franklin County
1,61,2018,dist_SSP,200.62,Alabama,AL,Geneva County
1,63,2018,dist_SSP,212,Alabama,AL,Greene County
1,65,2018,dist_SSP,199.6,Alabama,AL,Hale County
1,67,2018,dist_SSP,162.2,Alabama,AL,Henry County
1,69,2018,dist_SSP,184.82,Alabama,AL,Houston County
1,71,2018,dist_SSP,102.12,Alabama,AL,Jackson County
1,73,2018,dist_SSP,141.6,Alabama,AL,Jefferson County
1,75,2018,dist_SSP,180.67,Alabama,AL,Lamar County
1,77,2018,dist_SSP,100.25,Alabama,AL,Lauderdale County
1,79,2018,dist_SSP,115.33,Alabama,AL,Lawrence County
1,81,2018,dist_SSP,97.73,Alabama,AL,Lee County
1,83,2018,dist_SSP,96.4,Alabama,AL,Limestone County
1,85,2018,dist_SSP,171,Alabama,AL,Lowndes County
1,87,2018,dist_SSP,123.67,Alabama,AL,Macon County
1,89,2018,dist_SSP,99.18,Alabama,AL,Madison County
1,91,2018,dist_SSP,205.89,Alabama,AL,Marengo County
1,93,2018,dist_SSP,156.17,Alabama,AL,Marion County
1,95,2018,dist_SSP,115.78,Alabama,AL,Marshall County
1,97,2018,dist_SSP,124.76,Alabama,AL,Mobile County
1,99,2018,dist_SSP,194.27,Alabama,AL,Monroe County
1,101,2018,dist_SSP,146.53,Alabama,AL,Montgomery County
1,103,2018,dist_SSP,118.56,Alabama,AL,Morgan County
1,105,2018,dist_SSP,191,Alabama,AL,Perry County
1,107,2018,dist_SSP,212.2,Alabama,AL,Pickens County
1,109,2018,dist_SSP,163.43,Alabama,AL,Pike County
1,111,2018,dist_SSP,68.2,Alabama,AL,Randolph County
1,113,2018,dist_SSP,108.25,Alabama,AL,Russell County
1,115,2018,dist_SSP,111.92,Alabama,AL,St. Clair County
1,117,2018,dist_SSP,135.19,Alabama,AL,Shelby County
1,119,2018,dist_SSP,214,Alabama,AL,Sumter County
1,121,2018,dist_SSP,109,Alabama,AL,Talladega County
1,123,2018,dist_SSP,100,Alabama,AL,Tallapoosa County
1,125,2018,dist_SSP,185,Alabama,AL,Tuscaloosa County
1,127,2018,dist_SSP,160.31,Alabama,AL,Walker County
1,129,2018,dist_SSP,149.79,Alabama,AL,Washington County
1,131,2018,dist_SSP,204.33,Alabama,AL,Wilcox County
1,133,2018,dist_SSP,145.43,Alabama,AL,Winston County
2,13,2018,dist_SSP,521,Alaska,AK,Aleutians East Borough
2,16,2018,dist_SSP,714.57,Alaska,AK,Aleutians West Census Area
2,20,2018,dist_SSP,116.76,Alaska,AK,Anchorage Municipality
2,50,2018,dist_SSP,162.54,Alaska,AK,Bethel Census Area
2,60,2018,dist_SSP,197,Alaska,AK,Bristol Bay Borough
2,68,2018,dist_SSP,219.2,Alaska,AK,Denali Borough
2,70,2018,dist_SSP,185.71,Alaska,AK,Dillingham Census Area
2,90,2018,dist_SSP,150.25,Alaska,AK,Fairbanks North Star Borough
2,100,2018,dist_SSP,71,Alaska,AK,Haines Borough
