psraid,sample,int_date,lang,form,llitext1,qs1,live1,reg,oftvote,eminuse,intmob,home3nw,bbhome1f1,bbhome1f2,bbhome2,device1a,smart1,intfreq,device1b,device1c,device1d,act112,act124,act125,act135,act136,act127,act128,act129,sns2a,sns2b,sns2c,sns2d,sns2e,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q2a,q2b,q2c,q2d,q2e,q2f,q3,q4,books1,books2a,books2b,books2c,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q8d,libusea,libuseb,libusec,lib_frq,libst_frq,libapp_frq,libmob,libvisit,ebk_awr,ebk_brw,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q10,q11a,q11b,q11c,q11d,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q16a,q16b,q17a,q17b,q17c,q17d,q18a,q18b,q18c,q18d,sex,age,marital,par,kidage1,educ2,emplnw,disa,party,partyln,ideo,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,hh1,hh3,zipcode,usr,cregion,state,weight,standwt
100001,1,31016,1,1,2, ,2,1,1,1,1,1,2, , ,1,1,1,1,2,1,2,2,1,1,2, , , , , ,5, ,1,1,2,2,2,2,1,2,2,2,1,3,1,1,3,2,1,10,1,1,1, ,3,5,5,3,1,1,3,1,1,1,3,2,3,1,3,1,2,1,2,2,1,2, , ,2, , , , ,2,1,1,1, , , ,1,1,1,1,1,1,1,1,1,1,3, , ,2,1, , ,2,34,1,1,0,4,2,2,3,2,4,2,1, , , , ,6,4,2,23464,U,3,51,6.9375,2.28787780476199
100003,1,30716,1,2,1, ,4,1,2,1,2, , ,2, ,2, ,4,2,2,1, , , , , ,2,2,2, , , , , ,1,1,1,2,1,1,1,2,4,2,1,3,1,2,2,1,4,1,2,2, , , , ,2,3,1,1,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,2,2,2,2,2,1, , ,2,1, , ,1,2,1,53,3,2, ,4,3,1,1, ,2,2,1, , , , ,2,1, ,40962,R,3,21,6.9375,2.28787780476199
100005,1,31016,1,1,2, ,4,3, ,1,1,1,2, , ,1,8,3,2,1,1,2,1,2,1,2, , , , ,3, , ,2,1,2,2,1,2,1,2,2,2,2,2,2,2,3,2,1,7,2,2,2, , , , ,2,2,1,1,1,3,3,3, , , ,3,1,2,1,1,1,1,2, , ,1,1,2, , ,1, , , , , , ,1,2,2,2,2,2,1,3,3,2,1, , ,3,2, , ,2,49,5,1,0,5,6,1,3,2,3,2,1, , , , ,3,2,1,24237,R,3,51,2.03125,.669874132024908
100009,1,32616,1,2,2, ,3,1,1,1,2, , ,2, ,1,2,5,2,2,1, , , , , ,2,2,2, , , , , ,1,1,1,1,1,1,1,1,4,4,2,1,3,3,2,1,30,1,2,2, , , , ,1,2,2,2,3,3,3, , , , ,3,2, , , , , , , , , , , , , ,2, , , , , , ,1,2,1,2,2,2,1,2,1, , ,2,1, , ,2,3,1,73,1,2, ,3,1,2,1, ,1,2,1, , , , ,6,2,2,47940,R,2,18,2.46875,.814154714307196
100014,1,30716,1,2,2, ,4,3, ,1,1, , ,2, ,1,2,4,1,1,2, , , , , ,2,2,2, , , , , ,2,2,2,2,2,2,2,2,4,2,1,1,2,3,2,1,15,1,2,1,1,2, ,5,3,2,5,3,1,1,3,3,4, ,2,3,1,2,1,1,1, , ,2,2,1, , ,2,2,2, , , ,1,8,2,1,2,1,1,1,1,1,1,1, , ,3,1, , ,2,2,2,63,5,2, ,8,3,2,9,9,2,2,1, , , , ,99,1, ,49065,S,2,26,1,.329784188073801
100016,1,31016,1,2,1, ,2,1,1,1,2, , ,2, ,1,2,3,2,1,1, , , , , ,2,2,2, , , , , ,1,2,2,1,2,2,1,2,2,4,3,2,2,3,1,2,8,1,1,2, , , , ,2,2,1,1,1,3,3,3, , , ,2,1,2,1,1,2, , ,2,2,2, , , , ,2, , , , , , ,1,2,2,1,1,8,1,1,1, , ,1,1, , ,1,8,2,85,5,2, ,8,3,2,2, ,4,2,1, , , , ,4,1, ,07090,S,1,34,1.4375,.474064770356089
100017,1,31216,1,1,1, ,1,3, ,1,1,1,2, , ,1,1,2,2,2,1,2,2,2,1,2, , , , , , , ,1,2,2,2,2,2,1,2,2,4,2,4,1,1,2,2,3,0, , , , , , , ,2,5,5,1,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,2,2,2,1,4,1,3,1,2,1, , ,8,2, , ,1,34,1,1,1,3,1,2,1, ,2,2,1, , , , ,4,3,1,23505,U,3,51,3.34375,1.10271587887177
100019,1,31216,1,1,2, ,2,1,2,1,1,1,2, , ,1,1,3,2,1,1,2,2,1,1,2, , , , , ,2, ,2,2,2,2,2,3,1,2,2,3,2,1,2,2,2,2,2,12,1,2,1,2, ,5,5,6,2,2,2,1,1,1,3,3,3,1,3,8, ,1,1,2,2,2, , ,1,2,2, , ,2,1,1,1, , , ,1,2,1,1,1,1,1,1,1,1,3, , ,2,1, , ,2,69,1,2, ,8,3,2,2, ,4,2,1, , , , ,7,2,2,19055,S,1,42,1.21875,.401924479214945
100022,1,30716,1,2,2, ,4,1,2,1,2, , ,2, ,2, ,4,2,2,1, , , , , ,2,2,2, , , , , ,1,2,1,1,2,2,2,2,4,2,1,2,2,2,2,2,0, , , , , , , ,5,1,1,3,1,3,3,4, , , ,3,8, ,1,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,1,2,1,2,2,1,1,1, , ,2,3, , ,1,4,2,73,1,2, ,4,3,2,3,2,3,2,1, , , , ,6,4,3,14013,R,1,36,5.4375,1.79320152265129
100026,1,30716,1,1,1, ,3,1,2,1,1,1,2, , ,1,1,2,1,2,1,2,2,2,2,2, , , , , , , , ,2,2,2,1,2,1,1,2,3,3,3,1,1,2,2,1,10,1,2,1, ,4,5,5,2,3,3,2,1,1,3,4,4, ,2,3,2, ,1,2,2,2,2, , ,2, , , , ,2,2,2,2, , , ,1,1,1,1,1,1,1,1,1,2,2, , ,3,1, , ,1,35,1,1,2,3,1,2,3,2,4,2,1, , , , ,5,4,2,48103,U,2,26,3.28125,1.08210436711716
