Year,Pistols,Revolvers,Rifles,Shotguns,Total firearms
1990,1371427,470495,1211664,855970,3909556
1991,1378252,459466,883482,828426,3549626
1992,1669537,469413,1001833,1018204,4158987
1993,2093362,562292,1173694,1148939,4978287
1994,2004298,586450,1316607,1254924,5162279
1995,1195284,527664,1441120,1176958,4341026
1996,987528,498944,1424315,925732,3836519
1997,1036077,370428,1251341,915978,3573824
1998,960365,324390,1346959,1036520,3668234
1999,995446,335798,1569685,1106995,4007924
2000,1004351,318960,1583097,898442,3804850
2001,677434,320143,1284551,679874,2962002
2002,743016,347070,1515535,741384,3347005
2003,826986,309364,1430433,726078,3292861
2004,837017,294099,1336077,733623,3200816
2005,807237,274399,1433560,709313,3224509
2006,1021544,382067,1500659,714618,3618888
2007,1222718,391334,1618257,645600,3877909
2008,1387349,431753,1747502,630663,4197267
2009,1870063,547526,2256912,752755,5427256
2010,2212226,559673,1831831,743092,5346822
2011,2598256,572857,2318207,862401,6351721
2012,3488865,667357,3172451,949010,8277683
2013,4441726,725282,3979568,1203072,10349648
2014,3636048,744047,3379931,935433,8695459
2015,3557199,885259,3691799,777273,8911530
